# Tuning subset of the PLATO mipfeas set, stratified on vanilla
# time-to-first-feasible (issue #103) — the axis the primal integral
# responds to, unlike the optimality solve time that
# bench/instances_small.txt was selected on.
#
# Generated by bench/make_tuning_set.py; do not hand-edit.  It is a
# derived, reproducible input: the same tree and --seed regenerate it
# byte for byte, which is why it carries no generation date.
#
#   source_tree      bench/results/plato/vanilla
#   config           vanilla
#   config_seeds     0
#   reference_list   bench/instances_tuning.txt (90 instances)
#   sample_seed      0
#   sample_size      20
#   boundaries_s     1, 10, 100, 600
#   min_per_stratum  1
#   aggregation      median-low over the config's seeds; never-feasible = +inf
#   allocation       proportional, largest remainder (integer shares, ties by stratum order)
#
#   stratum       full   full%  sample  sample%   ideal
#   <1s             42   46.7%       8    40.0%     9.3
#   1-10s           27   30.0%       5    25.0%     6.0
#   10-100s         10   11.1%       3    15.0%     2.2
#   100-600s         6    6.7%       2    10.0%     1.3
#   >=600s           1    1.1%       1     5.0%     0.2
#   never            4    4.4%       1     5.0%     0.9
#   TOTAL           90  100.0%      20   100.0%    20.0
#
# Regenerate with:
#   bench/make_tuning_set.py bench/results/plato/vanilla --config vanilla --instances bench/instances_tuning.txt --size 20 --seed 0

# <1s (8 of 42)
cbs-cta                   # 0.30s
graphdraw-domain          # 0.00s
h80x6320d                 # 0.20s
mas76                     # 0.00s
mushroom-best             # 0.50s
neos-1171448              # 0.20s
neos-3046615-murg         # 0.40s
supportcase18             # 0.20s

# 1-10s (5 of 27)
neos-1456979              # 9.20s
neos-960392               # 1.70s
sorrell3                  # 2.10s
uccase12                  # 3.60s
var-smallemery-m6j6       # 5.40s

# 10-100s (3 of 10)
neos-5188808-nattai       # 12.30s
nursesched-medium-hint03  # 31.40s
proteindesign122trx11p8   # 77.60s

# 100-600s (2 of 6)
neos-3004026-krka         # 268.20s
proteindesign121hz512p9   # 118.20s

# >=600s (1 of 1)
ns1644855                 # 600.10s

# never (1 of 4)
neos-5104907-jarama       # never
