# Tuning subset of the PLATO mipfeas set, stratified on vanilla
# time-to-first-feasible (issue #103) — the axis the primal integral
# responds to, unlike the optimality solve time that
# bench/instances_small.txt was selected on.
#
# Generated by bench/make_tuning_set.py; do not hand-edit.  It is a
# derived, reproducible input: the same tree and --seed regenerate it
# byte for byte, which is why it carries no generation date.
#
#   source_tree      bench/results/plato
#   config           vanilla
#   config_seeds     0
#   reference_list   bench/instances_plato.txt (233 instances)
#   sample_seed      0
#   sample_size      25
#   boundaries_s     1, 10, 100, 600
#   min_per_stratum  1
#   aggregation      median-low over the config's seeds; never-feasible = +inf
#   allocation       proportional, largest remainder (integer shares, ties by stratum order)
#
#   stratum       full   full%  sample  sample%   ideal
#   <1s             92   39.5%       9    36.0%     9.9
#   1-10s           62   26.6%       6    24.0%     6.7
#   10-100s         40   17.2%       4    16.0%     4.3
#   100-600s        16    6.9%       2     8.0%     1.7
#   >=600s           1    0.4%       1     4.0%     0.1
#   never           22    9.4%       3    12.0%     2.4
#   TOTAL          233  100.0%      25   100.0%    25.0
#
# Regenerate with:
#   bench/make_tuning_set.py bench/results/plato --config vanilla --instances bench/instances_plato.txt --size 25 --seed 0

# <1s (9 of 92)
comp21-2idx               # 0.60s
mad                       # 0.00s
markshare2                # 0.00s
neos-3754480-nidda        # 0.00s
neos-4738912-atrato       # 0.10s
neos-933966               # 0.70s
sct2                      # 0.20s
supportcase18             # 0.20s
supportcase26             # 0.00s

# 1-10s (6 of 62)
icir97_tension            # 5.30s
neos-4763324-toguru       # 9.40s
ns1116954                 # 1.60s
supportcase10             # 3.60s
tbfp-network              # 2.60s
uccase9                   # 9.30s

# 10-100s (4 of 40)
eilA101-2                 # 83.50s
neos-4647030-tutaki       # 48.40s
nursesched-medium-hint03  # 31.40s
proteindesign122trx11p8   # 77.60s

# 100-600s (2 of 16)
bnatt400                  # 542.80s
proteindesign121hz512p9   # 118.20s

# >=600s (1 of 1)
ns1644855                 # 600.10s

# never (3 of 22)
neos-4532248-waihi        # never
peg-solitaire-a3          # never
supportcase22             # never
